trt,rep,nrate_kgha,krate_kgha,yield_kgha
1,1,0,0,1350
2,1,0,30,2110
3,1,0,60,5725
4,1,100,0,2988
5,1,100,30,3438
6,1,100,60,6525
7,1,200,0,2825
8,1,200,30,4400
9,1,200,60,7025
1,2,0,0,2250
2,2,0,30,4250
3,2,0,60,3150
4,2,100,0,3575
5,2,100,30,6075
6,2,100,60,3925
7,2,200,0,4075
8,2,200,30,7232
9,2,200,60,3412
1,3,0,0,875
2,3,0,30,2250
3,3,0,60,4250
4,3,100,0,812
5,3,100,30,2962
6,3,100,60,5200
7,3,200,0,1910
8,3,200,30,5488
9,3,200,60,5870
1,4,0,0,1537
2,4,0,30,2791
3,4,0,60,4578
4,4,100,0,2001
5,4,100,30,4419
6,4,100,60,5754
7,4,200,0,2756
8,4,200,30,5354
9,4,200,60,5029
